Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
31 Dec 2019 ; Chiringuito Azul FX Rate £1 = €1.1639 ; 68.74 ;  ;  EUR 80.00 ;  ; 508.26; Restaurants; 
30 Dec 2019 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 577.00; Shopping; 
30 Dec 2019 ; Organic Market & Foood Marbella FX Rate £1 = €1.1639 ; 70.45 ;  ;  EUR 82.00 ;  ; 584.99; Services; 
30 Dec 2019 ; Indigo - Avda del Mar. FX Rate £1 = €1.1735 ; 4.90 ;  ;  EUR 5.75 ;  ; 655.44; Transport; 
30 Dec 2019 ; iTunes  ; 2.99 ;  ;  ;  ; 660.34; Shopping; 
30 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 663.33; General; 
29 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1707 ; 21.09 ;  ;  EUR 24.69 ;  ; 363.33; Transport; 
29 Dec 2019 ; Desani Group FX Rate £1 = €1.1733 ; 32.39 ;  ;  EUR 38.00 ;  ; 384.42; Restaurants; 
28 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 416.81; General; 
27 Dec 2019 ; Experian Uk  ; 14.99 ;  ;  ;  ; 116.81; General; 
27 Dec 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 131.80; Shopping; 
27 Dec 2019 ; Restaurante La Ruta FX Rate £1 = €1.1696 ; 33.35 ;  ;  EUR 39.00 ;  ; 141.79; Restaurants; 
27 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1687 ; 9.36 ;  ;  EUR 10.93 ;  ; 175.14; Transport; 
27 Dec 2019 ; Restaurante La Ruta FX Rate £1 = €1.1688 ; 32.51 ;  ;  EUR 38.00 ;  ; 184.50; Restaurants; 
27 Dec 2019 ; Fruteria La Chaparra FX Rate £1 = €1.1675 ; 29.55 ;  ;  EUR 34.50 ;  ; 217.01; Groceries; 
27 Dec 2019 ; Maskom Supermercados FX Rate £1 = €1.1682 ; 17.47 ;  ;  EUR 20.41 ;  ; 246.56; Groceries; 
27 Dec 2019 ; Supercor Expres Estepona FX Rate £1 = €1.1683 ; 9.52 ;  ;  EUR 11.12 ;  ; 264.03; Utilities; 
27 Dec 2019 ; La Canasta FX Rate £1 = €1.1679 ; 4.63 ;  ;  EUR 5.40 ;  ; 273.55; Restaurants; 
27 Dec 2019 ; Pedro Ingelmo Marcos J FX Rate £1 = €1.1679 ; 31.00 ;  ;  EUR 36.20 ;  ; 278.18; Groceries; 
25 Dec 2019 ; Cash at Unicaja FX Rate £1 = €1.1718 ; 204.81 ;  ;  EUR 240.00 ;  ; 309.18; Cash; 
25 Dec 2019 ; Primor FX Rate £1 = €1.1712 ; 26.44 ;  ;  EUR 30.96 ;  ; 513.99; Health; 
25 Dec 2019 ; Amazon FX Rate £1 = €1.1738 ; 68.14 ;  ;  EUR 79.98 ;  ; 540.43; Shopping; 
24 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 608.57; General; 
24 Dec 2019 ; ALDI FX Rate £1 = €1.1673 ; 47.63 ;  ;  EUR 55.59 ;  ; 308.57; Groceries; 
24 Dec 2019 ; Mr. Gourmet Burger FX Rate £1 = €1.1673 ; 12.86 ;  ;  EUR 15.00 ;  ; 356.20; Restaurants; 
23 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 369.06; General; 
22 Dec 2019 ; Mundo Manía FX Rate £1 = €1.1770 ; 11.90 ;  ;  EUR 14.00 ;  ; 69.06; Shopping; 
22 Dec 2019 ; Mundo Manía FX Rate £1 = €1.1770 ; 14.45 ;  ;  EUR 17.00 ;  ; 80.96; Shopping; 
22 Dec 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 95.41; Shopping; 
22 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1732 ; 10.73 ;  ;  EUR 12.58 ;  ; 105.40; Transport; 
22 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1737 ; 6.39 ;  ;  EUR 7.50 ;  ; 116.13; Health; 
22 Dec 2019 ; Amazon FX Rate £1 = €1.1690 ; 20.52 ;  ;  EUR 23.98 ;  ; 122.52; Shopping; 
20 Dec 2019 ; Clinica Guadalvit FX Rate £1 = €1.1688 ; 68.45 ;  ;  EUR 80.00 ;  ; 143.04; Health; 
20 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1715 ; 5.08 ;  ;  EUR 5.95 ;  ; 211.49; Transport; 
20 Dec 2019 ; La Bodega del Mar FX Rate £1 = €1.1783 ; 52.11 ;  ;  EUR 61.40 ;  ; 216.57; Health; 
20 Dec 2019 ; Cedipsa 040481 Asa San FX Rate £1 = €1.1792 ; 38.51 ;  ;  EUR 45.41 ;  ; 268.68; Transport; 
20 Dec 2019 ; Firstedition Sl FX Rate £1 = €1.1754 ; 19.57 ;  ;  EUR 23.00 ;  ; 307.19; Restaurants; 
20 Dec 2019 ; delish Marbella FX Rate £1 = €1.1756 ; 30.94 ;  ;  EUR 36.37 ;  ; 326.76; Restaurants; 
20 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1782 ; 5.10 ;  ;  EUR 6.00 ;  ; 357.70; Health; 
19 Dec 2019 ; Itunes  ; 0.79 ;  ;  ;  ; 362.80; Shopping; 
19 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1761 ; 10.12 ;  ;  EUR 11.90 ;  ; 363.59; Transport; 
19 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 373.71; General; 
19 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1768 ; 6.38 ;  ;  EUR 7.50 ;  ; 73.71; Health; 
19 Dec 2019 ; Amazon FX Rate £1 = €1.1777 ; 22.06 ;  ;  EUR 25.98 ;  ; 80.09; Shopping; 
19 Dec 2019 ; Costa Jardin Vivero FX Rate £1 = €1.1760 ; 2.98 ;  ;  EUR 3.50 ;  ; 102.15; Shopping; 
19 Dec 2019 ; Gym junkie FX Rate £1 = €1.1752 ; 14.47 ;  ;  EUR 17.00 ;  ; 105.13; Restaurants; 
18 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1926 ; 3.95 ;  ;  EUR 4.70 ;  ; 119.60; Transport; 
18 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1798 ; 10.09 ;  ;  EUR 11.90 ;  ; 123.55; Transport; 
18 Dec 2019 ; Firstedition Sl FX Rate £1 = €1.1809 ; 21.17 ;  ;  EUR 25.00 ;  ; 133.64; Restaurants; 
18 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1831 ; 5.08 ;  ;  EUR 6.00 ;  ; 154.81; Health; 
18 Dec 2019 ; Organic With Love (OWL) FX Rate £1 = €1.1848 ; 5.91 ;  ;  EUR 7.00 ;  ; 159.89; Shopping; 
17 Dec 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1960 ; 25.09 ;  ;  EUR 30.00 ;  ; 165.80; Restaurants; 
17 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1966 ; 20.29 ;  ;  EUR 24.27 ;  ; 190.89; Transport; 
17 Dec 2019 ; Amazon FX Rate £1 = €1.1911 ; 14.27 ;  ;  EUR 16.99 ;  ; 211.18; Shopping; 
17 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1996 ; 6.26 ;  ;  EUR 7.50 ;  ; 225.45; Health; 
16 Dec 2019 ; Granier  ; 8.60 ;  ;  ;  ; 231.71; Restaurants; 
16 Dec 2019 ; Nas Gee Inflight Wife FX Rate £1 = €1.1926 ; 4.20 ;  ;  EUR 5.00 ;  ; 240.31; Entertainment; 
16 Dec 2019 ; Malaga airport - Costa del Sol FX Rate £1 = €1.1926 ; 5.87 ;  ;  EUR 7.00 ;  ; 244.51; Restaurants; 
15 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1858 ; 3.97 ;  ;  EUR 4.70 ;  ; 250.38; Transport; 
14 Dec 2019 ; Malaga airport - Costa del Sol FX Rate £1 = €1.1858 ; 9.62 ;  ;  EUR 11.40 ;  ; 254.35; Restaurants; 
14 Dec 2019 ; Gym junkie FX Rate £1 = €1.1926 ; 14.68 ;  ;  EUR 17.50 ;  ; 263.97; Restaurants; 
14 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1926 ; 6.29 ;  ;  EUR 7.50 ;  ; 278.65; Health; 
13 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1835 ; 0.85 ;  ;  EUR 1.00 ;  ; 284.94; Transport; 
13 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1813 ; 1.74 ;  ;  EUR 2.05 ;  ; 285.79; Transport; 
13 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1817 ; 0.85 ;  ;  EUR 1.00 ;  ; 287.53; Transport; 
13 Dec 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1865 ; 6.75 ;  ;  EUR 8.00 ;  ; 288.38; Restaurants; 
13 Dec 2019 ; Autopista del Sol FX Rate £1 = €1.1813 ; 1.74 ;  ;  EUR 2.05 ;  ; 295.13; Transport; 
13 Dec 2019 ; Firstedition Sl FX Rate £1 = €1.1867 ; 19.39 ;  ;  EUR 23.00 ;  ; 296.87; Restaurants; 
12 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1888 ; 5.05 ;  ;  EUR 6.00 ;  ; 316.26; Health; 
12 Dec 2019 ; Blue Cat Parking FX Rate £1 = €1.1886 ; 46.19 ;  ;  EUR 54.90 ;  ; 321.31; Transport; 
12 Dec 2019 ; Jorge Pena Peluqueros FX Rate £1 = €1.1870 ; 10.11 ;  ;  EUR 12.00 ;  ; 367.50; Health; 
11 Dec 2019 ; Restaurante Sabores FX Rate £1 = €1.1884 ; 7.58 ;  ;  EUR 9.00 ;  ; 377.61; Restaurants; 
10 Dec 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 385.19; Shopping; 
10 Dec 2019 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 399.18; General; 
10 Dec 2019 ; Senator Banús Spa Hotel FX Rate £1 = €1.1813 ; 38.55 ;  ;  EUR 45.53 ;  ; 99.18; Transport; 
10 Dec 2019 ; Amazon FX Rate £1 = €1.1813 ; 12.19 ;  ;  EUR 14.39 ;  ; 137.73; Shopping; 
8 Dec 2019 ; Itunes  ; 7.99 ;  ;  ;  ; 149.92; Shopping; 
6 Dec 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1838 ; 28.30 ;  ;  EUR 33.50 ;  ; 157.91; Restaurants; 
6 Dec 2019 ; Firstedition Sl FX Rate £1 = €1.1839 ; 33.79 ;  ;  EUR 40.00 ;  ; 186.21; Restaurants; 
6 Dec 2019 ; Constitución Garden FX Rate £1 = €1.1810 ; 5.30 ;  ;  EUR 6.25 ;  ; 220.00; Transport; 
6 Dec 2019 ; Alma Cafeteria FX Rate £1 = €1.1801 ; 21.19 ;  ;  EUR 25.00 ;  ; 225.30; Restaurants; 
6 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1813 ; 6.35 ;  ;  EUR 7.50 ;  ; 246.49; Health; 
5 Dec 2019 ; Detalles Marbella Sl FX Rate £1 = €1.1711 ; 6.79 ;  ;  EUR 7.95 ;  ; 252.84; Shopping; 
5 Dec 2019 ; Gpv Benahavis FX Rate £1 = €1.1724 ; 27.84 ;  ;  EUR 32.64 ;  ; 259.63; Transport; 
5 Dec 2019 ; Daily S Brunch Cafe FX Rate £1 = €1.1711 ; 1.71 ;  ;  EUR 2.00 ;  ; 287.47; Restaurants; 
4 Dec 2019 ; Regalos Gran Oriente M FX Rate £1 = €1.1700 ; 12.70 ;  ;  EUR 14.85 ;  ; 289.18; Services; 
4 Dec 2019 ; Firstedition Sl FX Rate £1 = €1.1707 ; 22.21 ;  ;  EUR 26.00 ;  ; 301.88; Restaurants; 
4 Dec 2019 ; Reebok Hybrid FX Rate £1 = €1.1732 ; 5.12 ;  ;  EUR 6.00 ;  ; 324.09; Health; 
