Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
23 Sep 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 565.33; General; 
22 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 365.33; General; 
22 Sep 2019 ; Cash at Bankia FX Rate £1 = €1.1330. Fee: 0.96 ; 311.41 ;  ;  EUR 351.75 ;  ; 265.33; Cash; 
22 Sep 2019 ; Reebok Hybrid FX Rate £1 = €1.1350 ; 5.29 ;  ;  EUR 6.00 ;  ; 576.74; Health; 
22 Sep 2019 ; Amazon FX Rate £1 = €1.1347 ; 25.21 ;  ;  EUR 28.60 ;  ; 582.03; Shopping; 
22 Sep 2019 ; Cerveceria Buenprovech FX Rate £1 = €1.1343 ; 2.65 ;  ;  EUR 3.00 ;  ; 607.24; Restaurants; 
21 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 609.89; General; 
21 Sep 2019 ; Gym junkie FX Rate £1 = €1.1295 ; 7.97 ;  ;  EUR 9.00 ;  ; 509.89; Restaurants; 
21 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1295 ; 12.44 ;  ;  EUR 14.05 ;  ; 517.86; Transport; 
21 Sep 2019 ; Itunes  ; 0.79 ;  ;  ;  ; 530.30; Shopping; 
21 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1280 ; 26.60 ;  ;  EUR 30.00 ;  ; 531.09; Transport; 
21 Sep 2019 ; Gym junkie FX Rate £1 = €1.1272 ; 30.17 ;  ;  EUR 34.00 ;  ; 557.69; Restaurants; 
21 Sep 2019 ; Amara Cafe FX Rate £1 = €1.1282 ; 4.53 ;  ;  EUR 5.10 ;  ; 587.86; Restaurants; 
21 Sep 2019 ; Amzn Mktp Es Amazon.es FX Rate £1 = €1.1285 ; 7.97 ;  ;  EUR 8.99 ;  ; 592.39; Shopping; 
20 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 600.36; General; 
19 Sep 2019 ; Autopista del Sol FX Rate £1 = €1.1223 ; 2.99 ;  ;  EUR 3.35 ;  ; 500.36; Transport; 
19 Sep 2019 ; Amazon FX Rate £1 = €1.1287 ; 61.98 ;  ;  EUR 69.95 ;  ; 503.35; Shopping; 
19 Sep 2019 ; Autopista del Sol FX Rate £1 = €1.1223 ; 2.99 ;  ;  EUR 3.35 ;  ; 565.33; Transport; 
19 Sep 2019 ; Farmacia Victor Navarr FX Rate £1 = €1.1252 ; 7.34 ;  ;  EUR 8.25 ;  ; 568.32; Health; 
18 Sep 2019 ; Exchange GBP to  FX Rate £1 = €1.1267 ; 887.51 ;  ;  GBP 887.51 ;  ; 575.66; General; 
18 Sep 2019 ; Top-Up by *8018  ;  ; 1,200.00 ;  ;  ; 1,463.17; General; 
18 Sep 2019 ; Clinica Guadalvit FX Rate £1 = €1.1279 ; 70.93 ;  ;  EUR 80.00 ;  ; 263.17; Health; 
18 Sep 2019 ; Cafe Verona FX Rate £1 = €1.1254 ; 11.11 ;  ;  EUR 12.50 ;  ; 334.10; Restaurants; 
18 Sep 2019 ; Organic Route Shop FX Rate £1 = €1.1273 ; 22.00 ;  ;  EUR 24.80 ;  ; 345.21; Groceries; 
18 Sep 2019 ; Amzn Mktp Es Amazon.es FX Rate £1 = €1.1223 ; 33.12 ;  ;  EUR 37.17 ;  ; 367.21; Shopping; 
17 Sep 2019 ; Itunes  ; 24.97 ;  ;  ;  ; 400.33; Shopping; 
17 Sep 2019 ; Sotogrande Republic FX Rate £1 = €1.1223 ; 44.55 ;  ;  EUR 49.99 ;  ; 425.30; Shopping; 
17 Sep 2019 ; Detalles Marbella Sl FX Rate £1 = €1.1223 ; 2.29 ;  ;  EUR 2.57 ;  ; 469.85; Shopping; 
17 Sep 2019 ; La Bodega del Mar FX Rate £1 = €1.1223 ; 3.48 ;  ;  EUR 3.90 ;  ; 472.14; Health; 
17 Sep 2019 ; La Bodega del Mar FX Rate £1 = €1.1223 ; 0.99 ;  ;  EUR 1.10 ;  ; 475.62; Health; 
17 Sep 2019 ; Foodisiac Sotogrande FX Rate £1 = €1.1223 ; 86.43 ;  ;  EUR 97.00 ;  ; 476.61; Restaurants; 
17 Sep 2019 ; Supercor Expres Estepona FX Rate £1 = €1.1223 ; 8.47 ;  ;  EUR 9.50 ;  ; 563.04; Utilities; 
17 Sep 2019 ; La Casa de Enka - Malagadevacaciones FX Rate £1 = €1.1223 ; 48.56 ;  ;  EUR 54.50 ;  ; 571.51; Restaurants; 
17 Sep 2019 ; Mundo Manía FX Rate £1 = €1.1223 ; 41.88 ;  ;  EUR 47.00 ;  ; 620.07; Shopping; 
17 Sep 2019 ; Mundo Manía FX Rate £1 = €1.1223 ; 9.81 ;  ;  EUR 11.00 ;  ; 661.95; Shopping; 
17 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1223 ; 66.82 ;  ;  EUR 74.99 ;  ; 671.76; Transport; 
17 Sep 2019 ; Taberna Del Alabardero FX Rate £1 = €1.1223 ; 72.17 ;  ;  EUR 81.00 ;  ; 738.58; Restaurants; 
16 Sep 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 810.75; General; 
16 Sep 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 610.75; General; 
15 Sep 2019 ; Da Bruno a San Pedro FX Rate £1 = €1.1256 ; 53.31 ;  ;  EUR 60.00 ;  ; 510.75; Restaurants; 
13 Sep 2019 ; Ferreteria Flores FX Rate £1 = €1.1181 ; 24.69 ;  ;  EUR 27.60 ;  ; 564.06; Utilities; 
13 Sep 2019 ; Pulitzer Hotel FX Rate £1 = €1.1209 ; 133.82 ;  ;  EUR 150.00 ;  ; 588.75; Travel; 
13 Sep 2019 ; Calamo Papeleria FX Rate £1 = €1.1179 ; 7.29 ;  ;  EUR 8.15 ;  ; 722.57; Shopping; 
13 Sep 2019 ; Cash at ENE'S FX Rate £1 = €1.1207 ; 137.37 ;  ;  EUR 153.95 ;  ; 729.86; Cash; 
12 Sep 2019 ; Gpv Benahavis FX Rate £1 = €1.1195 ; 6.31 ;  ;  EUR 7.06 ;  ; 867.23; Transport; 
12 Sep 2019 ; La Whiskeria FX Rate £1 = €1.1182 ; 17.89 ;  ;  EUR 20.00 ;  ; 873.54; Restaurants; 
12 Sep 2019 ; La Taverna de Barcelona FX Rate £1 = €1.1173 ; 10.03 ;  ;  EUR 11.20 ;  ; 891.43; Restaurants; 
12 Sep 2019 ; Taxi Licencia 8009 -ba FX Rate £1 = €1.1221 ; 27.94 ;  ;  EUR 31.35 ;  ; 901.46; Transport; 
12 Sep 2019 ; Luzia FX Rate £1 = €1.1184 ; 38.45 ;  ;  EUR 43.00 ;  ; 929.40; Restaurants; 
12 Sep 2019 ; Inditex S.A. FX Rate £1 = €1.1205 ; 76.58 ;  ;  EUR 85.80 ;  ; 967.85; Shopping; 
12 Sep 2019 ; Top-Up by *8018  ;  ; 500.00 ;  ;  ; 1,044.43; General; 
12 Sep 2019 ; Ryanair FX Rate £1 = €1.1195 ; 47.81 ;  ;  EUR 53.52 ;  ; 544.43; Travel; 
12 Sep 2019 ; Malaga airport - Costa del Sol FX Rate £1 = €1.1198 ; 3.44 ;  ;  EUR 3.85 ;  ; 592.24; Restaurants; 
12 Sep 2019 ; Malaga airport - Costa del Sol FX Rate £1 = €1.1187 ; 7.74 ;  ;  EUR 8.65 ;  ; 595.68; Restaurants; 
12 Sep 2019 ; Driveeyou FX Rate £1 = €1.1187 ; 80.45 ;  ;  EUR 90.00 ;  ; 603.42; Transport; 
12 Sep 2019 ; Gym junkie FX Rate £1 = €1.1173 ; 37.59 ;  ;  EUR 42.00 ;  ; 683.87; Restaurants; 
12 Sep 2019 ; Amazon  ; 3.79 ;  ;  ;  ; 721.46; Shopping; 
11 Sep 2019 ; Vueling Airlines  ; 109.17 ;  ;  ;  ; 725.25; Travel; 
10 Sep 2019 ; Top-Up by *8018  ;  ; 500.00 ;  ;  ; 834.42; General; 
10 Sep 2019 ; Itunes  ; 23.99 ;  ;  ;  ; 334.42; Shopping; 
9 Sep 2019 ; Top-Up by *8018  ;  ; 250.00 ;  ;  ; 358.41; General; 
