Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
12 Mar 2020 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 145.87; General; 
12 Mar 2020 ; Chiringuito Paco FX Rate £1 = €1.1400 ; 48.25 ;  ;  EUR 55.00 ;  ; 45.87; Restaurants; 
11 Mar 2020 ; Firstedition Sl FX Rate £1 = €1.1449 ; 9.18 ;  ;  EUR 10.50 ;  ; 94.12; Restaurants; 
11 Mar 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1466 ; 7.42 ;  ;  EUR 8.50 ;  ; 103.30; Restaurants; 
10 Mar 2020 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 110.72; General; 
9 Mar 2020 ; Amazon FX Rate £1 = €1.1499 ; 23.01 ;  ;  EUR 26.45 ;  ; 10.72; Shopping; 
9 Mar 2020 ; Gpv Benahavis FX Rate £1 = €1.1499 ; 7.73 ;  ;  EUR 8.88 ;  ; 33.73; Transport; 
8 Mar 2020 ; Reebok Hybrid FX Rate £1 = €1.1476 ; 6.54 ;  ;  EUR 7.50 ;  ; 41.46; Health; 
8 Mar 2020 ; La Bodega del Mar FX Rate £1 = €1.1491 ; 11.32 ;  ;  EUR 13.00 ;  ; 48.00; Health; 
6 Mar 2020 ; Cerveceria Buenprovech FX Rate £1 = €1.1550 ; 6.93 ;  ;  EUR 8.00 ;  ; 59.32; Restaurants; 
6 Mar 2020 ; Reebok Hybrid FX Rate £1 = €1.1564 ; 5.19 ;  ;  EUR 6.00 ;  ; 66.25; Health; 
6 Mar 2020 ; Gpv Benahavis FX Rate £1 = €1.1547 ; 23.28 ;  ;  EUR 26.88 ;  ; 71.44; Transport; 
5 Mar 2020 ; Chiropractic - Ricardo FX Rate £1 = €1.1447 ; 34.95 ;  ;  EUR 40.00 ;  ; 94.72; Health; 
5 Mar 2020 ; Reebok Hybrid FX Rate £1 = €1.1516 ; 5.21 ;  ;  EUR 6.00 ;  ; 129.67; Health; 
5 Mar 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1454 ; 7.43 ;  ;  EUR 8.50 ;  ; 134.88; Restaurants; 
4 Mar 2020 ; Cash at Enes1364 FX Rate £1 = €1.1496 ; 90.43 ;  ;  EUR 103.95 ;  ; 142.31; Cash; 
3 Mar 2020 ; Gym junkie FX Rate £1 = €1.1525 ; 5.21 ;  ;  EUR 6.00 ;  ; 232.74; Restaurants; 
2 Mar 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 237.95; Shopping; 
29 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 245.94; General; 
28 Feb 2020 ; Experian Uk  ; 14.99 ;  ;  ;  ; 45.94; General; 
28 Feb 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 60.93; Shopping; 
27 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1966 ; 37.61 ;  ;  EUR 45.00 ;  ; 70.92; Transport; 
25 Feb 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 108.53; Shopping; 
25 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1926 ; 6.29 ;  ;  EUR 7.50 ;  ; 122.52; Health; 
25 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1933 ; 83.80 ;  ;  EUR 100.00 ;  ; 128.81; Health; 
25 Feb 2020 ; Gym junkie FX Rate £1 = €1.1923 ; 31.04 ;  ;  EUR 37.00 ;  ; 212.61; Restaurants; 
24 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1880 ; 20.42 ;  ;  EUR 24.25 ;  ; 243.65; Transport; 
24 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 264.07; General; 
24 Feb 2020 ; Amazon FX Rate £1 = €1.1884 ; 23.28 ;  ;  EUR 27.66 ;  ; 64.07; Shopping; 
24 Feb 2020 ; Itunes  ; 6.80 ;  ;  ;  ; 87.35; Shopping; 
24 Feb 2020 ; La Bodega del Mar FX Rate £1 = €1.1884 ; 6.65 ;  ;  EUR 7.90 ;  ; 94.15; Health; 
24 Feb 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 100.80; Shopping; 
24 Feb 2020 ; Itunes  ; 1.19 ;  ;  ;  ; 108.79; Shopping; 
24 Feb 2020 ; La Bodega del Mar FX Rate £1 = €1.1884 ; 18.26 ;  ;  EUR 21.70 ;  ; 109.98; Health; 
23 Feb 2020 ; La Bodega del Mar FX Rate £1 = €1.1974 ; 3.24 ;  ;  EUR 3.87 ;  ; 128.24; Health; 
23 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1952 ; 6.28 ;  ;  EUR 7.50 ;  ; 131.48; Health; 
23 Feb 2020 ; Triay Medic FX Rate £1 = €1.1975 ; 58.46 ;  ;  EUR 70.00 ;  ; 137.76; Health; 
23 Feb 2020 ; Amazon FX Rate £1 = €1.1941 ; 22.15 ;  ;  EUR 26.45 ;  ; 196.22; Shopping; 
21 Feb 2020 ; Uber FX Rate £1 = €1.1940 ; 10.08 ;  ;  EUR 12.03 ;  ; 218.37; Transport; 
21 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 228.45; General; 
21 Feb 2020 ; Supersol FX Rate £1 = €1.1951 ; 33.46 ;  ;  EUR 39.98 ;  ; 28.45; Groceries; 
21 Feb 2020 ; Chiropractic - Ricardo FX Rate £1 = €1.1958 ; 66.90 ;  ;  EUR 80.00 ;  ; 61.91; Health; 
20 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.2033 ; 4.99 ;  ;  EUR 6.00 ;  ; 128.81; Health; 
19 Feb 2020 ; iTunes  ; 0.79 ;  ;  ;  ; 133.80; Shopping; 
19 Feb 2020 ; Autopista del Sol FX Rate £1 = €1.1984 ; 1.72 ;  ;  EUR 2.05 ;  ; 134.59; Transport; 
19 Feb 2020 ; Organic With Love (OWL) FX Rate £1 = €1.2037 ; 5.40 ;  ;  EUR 6.50 ;  ; 136.31; Shopping; 
19 Feb 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.2035 ; 17.45 ;  ;  EUR 21.00 ;  ; 141.71; Restaurants; 
19 Feb 2020 ; Autopista del Sol FX Rate £1 = €1.1984 ; 1.55 ;  ;  EUR 1.85 ;  ; 159.16; Transport; 
18 Feb 2020 ; Chiropractic - Ricardo FX Rate £1 = €1.2024 ; 33.27 ;  ;  EUR 40.00 ;  ; 160.71; Health; 
18 Feb 2020 ; Supersol FX Rate £1 = €1.2021 ; 43.49 ;  ;  EUR 52.27 ;  ; 193.98; Groceries; 
18 Feb 2020 ; iTunes  ; 11.99 ;  ;  ;  ; 237.47; Shopping; 
18 Feb 2020 ; iTunes  ; 4.99 ;  ;  ;  ; 249.46; Shopping; 
18 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.2011 ; 5.00 ;  ;  EUR 6.00 ;  ; 254.45; Health; 
17 Feb 2020 ; Madubar Fusion FX Rate £1 = €1.1984 ; 29.21 ;  ;  EUR 35.00 ;  ; 259.45; Restaurants; 
17 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 288.66; General; 
17 Feb 2020 ; Da Bruno a San Pedro FX Rate £1 = €1.1984 ; 37.55 ;  ;  EUR 45.00 ;  ; 88.66; Restaurants; 
17 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.2043 ; 12.09 ;  ;  EUR 14.55 ;  ; 126.21; Transport; 
17 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1984 ; 5.01 ;  ;  EUR 6.00 ;  ; 138.30; Health; 
16 Feb 2020 ; Benka Sushi FX Rate £1 = €1.2044 ; 51.48 ;  ;  EUR 62.00 ;  ; 143.31; Restaurants; 
15 Feb 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1927 ; 7.13 ;  ;  EUR 8.50 ;  ; 194.79; Restaurants; 
14 Feb 2020 ; Amazon FX Rate £1 = €1.1917 ; 13.42 ;  ;  EUR 15.99 ;  ; 201.92; Shopping; 
14 Feb 2020 ; Amazon FX Rate £1 = €1.1918 ; 7.55 ;  ;  EUR 8.99 ;  ; 215.34; Shopping; 
14 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1889 ; 6.31 ;  ;  EUR 7.50 ;  ; 222.89; Health; 
14 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1886 ; 5.76 ;  ;  EUR 6.84 ;  ; 229.20; Transport; 
11 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1766 ; 39.51 ;  ;  EUR 46.48 ;  ; 234.96; Transport; 
11 Feb 2020 ; Restaurante Inch Bar FX Rate £1 = €1.1704 ; 56.39 ;  ;  EUR 66.00 ;  ; 274.47; Restaurants; 
11 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1806 ; 5.09 ;  ;  EUR 6.00 ;  ; 330.86; Health; 
11 Feb 2020 ; Amazon FX Rate £1 = €1.1715 ; 13.83 ;  ;  EUR 16.20 ;  ; 335.95; Shopping; 
10 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 349.78; General; 
10 Feb 2020 ; El Corte Ingles Marbel FX Rate £1 = €1.1708 ; 97.59 ;  ;  EUR 114.25 ;  ; 149.78; Shopping; 
10 Feb 2020 ; Daily S Brunch Cafe FX Rate £1 = €1.1708 ; 28.19 ;  ;  EUR 33.00 ;  ; 247.37; Restaurants; 
10 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1708 ; 16.81 ;  ;  EUR 19.67 ;  ; 275.56; Transport; 
10 Feb 2020 ; Benka Sushi FX Rate £1 = €1.1708 ; 36.99 ;  ;  EUR 43.30 ;  ; 292.37; Restaurants; 
10 Feb 2020 ; El corte ingles FX Rate £1 = €1.1708 ; 3.72 ;  ;  EUR 4.35 ;  ; 329.36; Transport; 
10 Feb 2020 ; The Box Market FX Rate £1 = €1.1708 ; 5.90 ;  ;  EUR 6.90 ;  ; 333.08; Restaurants; 
10 Feb 2020 ; El Corte Ingles Marbel FX Rate £1 = €1.1708 ; 2.01 ;  ;  EUR 2.35 ;  ; 338.98; Shopping; 
10 Feb 2020 ; iTunes  ; 7.99 ;  ;  ;  ; 340.99; Shopping; 
9 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1806 ; 5.09 ;  ;  EUR 6.00 ;  ; 348.98; Health; 
8 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 354.07; General; 
7 Feb 2020 ; Gym junkie FX Rate £1 = €1.1789 ; 8.06 ;  ;  EUR 9.50 ;  ; 154.07; Restaurants; 
7 Feb 2020 ; Hustle N Flow Eatery FX Rate £1 = €1.1782 ; 31.41 ;  ;  EUR 37.00 ;  ; 162.13; Restaurants; 
6 Feb 2020 ; Detalles Marbella Sl FX Rate £1 = €1.1842 ; 2.20 ;  ;  EUR 2.60 ;  ; 193.54; Shopping; 
6 Feb 2020 ; Amazon FX Rate £1 = €1.1799 ; 22.55 ;  ;  EUR 26.60 ;  ; 195.74; Shopping; 
6 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1816 ; 6.21 ;  ;  EUR 7.33 ;  ; 218.29; Transport; 
6 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1839 ; 5.07 ;  ;  EUR 6.00 ;  ; 224.50; Health; 
5 Feb 2020 ; delish Marbella FX Rate £1 = €1.1778 ; 5.61 ;  ;  EUR 6.60 ;  ; 229.57; Restaurants; 
4 Feb 2020 ; Mini India FX Rate £1 = €1.1902 ; 27.23 ;  ;  EUR 32.40 ;  ; 235.18; Restaurants; 
4 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1804 ; 3.82 ;  ;  EUR 4.50 ;  ; 262.41; Transport; 
4 Feb 2020 ; Gym junkie FX Rate £1 = €1.1798 ; 6.91 ;  ;  EUR 8.15 ;  ; 266.23; Restaurants; 
4 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1798 ; 7.63 ;  ;  EUR 9.00 ;  ; 273.14; Health; 
4 Feb 2020 ; Amazon FX Rate £1 = €1.1749 ; 24.60 ;  ;  EUR 28.90 ;  ; 280.77; Shopping; 
4 Feb 2020 ; itunes.com/bill  ; 13.99 ;  ;  ;  ; 305.37; Shopping; 
3 Feb 2020 ; Gpv Benahavis FX Rate £1 = €1.1842 ; 3.51 ;  ;  EUR 4.15 ;  ; 319.36; Transport; 
3 Feb 2020 ; Singh Brother FX Rate £1 = €1.1842 ; 69.25 ;  ;  EUR 82.00 ;  ; 322.87; Restaurants; 
3 Feb 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 392.12; General; 
2 Feb 2020 ; Reebok Hybrid FX Rate £1 = €1.1897 ; 5.05 ;  ;  EUR 6.00 ;  ; 192.12; Health; 
2 Feb 2020 ; Usborne Books At Home  ; 18.50 ;  ;  ;  ; 197.17; Shopping; 
31 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1869 ; 28.65 ;  ;  EUR 34.00 ;  ; 215.67; Restaurants; 
31 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1826 ; 1.74 ;  ;  EUR 2.05 ;  ; 244.32; Transport; 
31 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1823 ; 1.74 ;  ;  EUR 2.05 ;  ; 246.06; Transport; 
31 Jan 2020 ; Gym junkie FX Rate £1 = €1.1808 ; 5.09 ;  ;  EUR 6.00 ;  ; 247.80; Restaurants; 
30 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1806 ; 22.03 ;  ;  EUR 26.00 ;  ; 252.89; Restaurants; 
30 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1814 ; 5.08 ;  ;  EUR 6.00 ;  ; 274.92; Health; 
30 Jan 2020 ; New Capital 2000 Sl FX Rate £1 = €1.1825 ; 5.54 ;  ;  EUR 6.55 ;  ; 280.00; Transport; 
30 Jan 2020 ; Gpv Benahavis FX Rate £1 = €1.1821 ; 11.19 ;  ;  EUR 13.22 ;  ; 285.54; Transport; 
30 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1794 ; 5.09 ;  ;  EUR 6.00 ;  ; 296.73; Health; 
30 Jan 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 301.82; Shopping; 
30 Jan 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 309.81; Shopping; 
29 Jan 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 317.80; General; 
29 Jan 2020 ; Costa Jardin Vivero FX Rate £1 = €1.1809 ; 11.86 ;  ;  EUR 14.00 ;  ; 117.80; Shopping; 
29 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1878 ; 1.27 ;  ;  EUR 1.50 ;  ; 129.66; Health; 
29 Jan 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1853 ; 19.83 ;  ;  EUR 23.50 ;  ; 130.93; Restaurants; 
29 Jan 2020 ; Gym junkie FX Rate £1 = €1.1880 ; 5.06 ;  ;  EUR 6.00 ;  ; 150.76; Restaurants; 
29 Jan 2020 ; Gym junkie FX Rate £1 = €1.1815 ; 5.08 ;  ;  EUR 6.00 ;  ; 155.82; Restaurants; 
29 Jan 2020 ; Floristería Maribel - Carrefour Estepona FX Rate £1 = €1.1794 ; 2.62 ;  ;  EUR 3.08 ;  ; 160.90; Shopping; 
29 Jan 2020 ; Marbella Arch FX Rate £1 = €1.1794 ; 42.47 ;  ;  EUR 50.09 ;  ; 163.52; Transport; 
29 Jan 2020 ; Experian Uk  ; 14.99 ;  ;  ;  ; 205.99; General; 
29 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1794 ; 5.09 ;  ;  EUR 6.00 ;  ; 220.98; Health; 
29 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1875 ; 11.79 ;  ;  EUR 14.00 ;  ; 226.07; Restaurants; 
29 Jan 2020 ; delish Marbella FX Rate £1 = €1.1865 ; 18.61 ;  ;  EUR 22.08 ;  ; 237.86; Restaurants; 
29 Jan 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 256.47; Shopping; 
29 Jan 2020 ; Floristería Maribel - Carrefour Estepona FX Rate £1 = €1.1794 ; 21.88 ;  ;  EUR 25.80 ;  ; 266.46; Shopping; 
28 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1852 ; 24.98 ;  ;  EUR 29.60 ;  ; 288.34; Restaurants; 
26 Jan 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1865 ; 24.87 ;  ;  EUR 29.50 ;  ; 313.32; Restaurants; 
25 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1833 ; 5.08 ;  ;  EUR 6.00 ;  ; 338.19; Health; 
24 Jan 2020 ; Amazon FX Rate £1 = €1.1833 ; 10.30 ;  ;  EUR 12.18 ;  ; 343.27; Shopping; 
24 Jan 2020 ; Itunes  ; 2.99 ;  ;  ;  ; 353.57; Shopping; 
23 Jan 2020 ; Gym junkie FX Rate £1 = €1.1841 ; 16.05 ;  ;  EUR 19.00 ;  ; 356.56; Restaurants; 
23 Jan 2020 ; Costa Jardin Vivero FX Rate £1 = €1.1846 ; 8.19 ;  ;  EUR 9.70 ;  ; 372.61; Shopping; 
23 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1750 ; 23.83 ;  ;  EUR 28.00 ;  ; 380.80; Restaurants; 
23 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1675 ; 1.76 ;  ;  EUR 2.05 ;  ; 404.63; Transport; 
23 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1675 ; 1.76 ;  ;  EUR 2.05 ;  ; 406.39; Transport; 
23 Jan 2020 ; Gpv Benahavis FX Rate £1 = €1.1766 ; 37.15 ;  ;  EUR 43.70 ;  ; 408.15; Transport; 
23 Jan 2020 ; Clinica Guadalvit FX Rate £1 = €1.1761 ; 42.52 ;  ;  EUR 50.00 ;  ; 445.30; Health; 
22 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1747 ; 5.11 ;  ;  EUR 6.00 ;  ; 487.82; Health; 
22 Jan 2020 ; Amazon FX Rate £1 = €1.1743 ; 30.66 ;  ;  EUR 36.00 ;  ; 492.93; Shopping; 
22 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1728 ; 17.91 ;  ;  EUR 21.00 ;  ; 523.59; Restaurants; 
22 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1723 ; 6.40 ;  ;  EUR 7.50 ;  ; 541.50; Health; 
22 Jan 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 547.90; Shopping; 
21 Jan 2020 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 555.89; General; 
21 Jan 2020 ; Ikebana Animación Ocio SL FX Rate £1 = €1.1675 ; 6.00 ;  ;  EUR 7.00 ;  ; 155.89; Entertainment; 
21 Jan 2020 ; Ikebana Animación Ocio SL FX Rate £1 = €1.1675 ; 8.57 ;  ;  EUR 10.00 ;  ; 161.89; Entertainment; 
21 Jan 2020 ; Mr. Gourmet Burger FX Rate £1 = €1.1675 ; 29.98 ;  ;  EUR 35.00 ;  ; 170.46; Restaurants; 
21 Jan 2020 ; New Capital 2000 Sl FX Rate £1 = €1.1675 ; 6.94 ;  ;  EUR 8.10 ;  ; 200.44; Transport; 
20 Jan 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 207.38; Shopping; 
20 Jan 2020 ; Maskom Supermercados FX Rate £1 = €1.1675 ; 47.78 ;  ;  EUR 55.78 ;  ; 208.17; Groceries; 
20 Jan 2020 ; Gym junkie FX Rate £1 = €1.1675 ; 10.28 ;  ;  EUR 12.00 ;  ; 255.95; Restaurants; 
20 Jan 2020 ; Gym junkie FX Rate £1 = €1.1675 ; 36.83 ;  ;  EUR 43.00 ;  ; 266.23; Restaurants; 
19 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1668 ; 4.08 ;  ;  EUR 4.75 ;  ; 303.06; Transport; 
19 Jan 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1740 ; 69.00 ;  ;  EUR 81.00 ;  ; 307.14; Restaurants; 
19 Jan 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1731 ; 6.82 ;  ;  EUR 8.00 ;  ; 376.14; Restaurants; 
19 Jan 2020 ; Firstedition Sl FX Rate £1 = €1.1732 ; 26.43 ;  ;  EUR 31.00 ;  ; 382.96; Restaurants; 
18 Jan 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 409.39; General; 
17 Jan 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 209.39; General; 
17 Jan 2020 ; Gym junkie FX Rate £1 = €1.1703 ; 19.66 ;  ;  EUR 23.00 ;  ; 9.39; Restaurants; 
17 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1706 ; 6.41 ;  ;  EUR 7.50 ;  ; 29.05; Health; 
17 Jan 2020 ; Gym junkie FX Rate £1 = €1.1700 ; 11.12 ;  ;  EUR 13.00 ;  ; 35.46; Restaurants; 
17 Jan 2020 ; Amazon FX Rate £1 = €1.1702 ; 12.30 ;  ;  EUR 14.39 ;  ; 46.58; Shopping; 
16 Jan 2020 ; Itunes  ; 13.99 ;  ;  ;  ; 58.88; Shopping; 
16 Jan 2020 ; Nas Gee Inflight Wife FX Rate £1 = €1.1666 ; 4.29 ;  ;  EUR 5.00 ;  ; 72.87; Entertainment; 
16 Jan 2020 ; Gpv Benahavis FX Rate £1 = €1.1669 ; 38.96 ;  ;  EUR 45.46 ;  ; 77.16; Transport; 
16 Jan 2020 ; Cash at Bancosabadell    17468 FX Rate £1 = €1.1670 ; 172.92 ;  ;  EUR 201.80 ;  ; 116.12; Cash; 
16 Jan 2020 ; Restaurante Inch Bar FX Rate £1 = €1.1675 ; 60.82 ;  ;  EUR 71.00 ;  ; 289.04; Restaurants; 
16 Jan 2020 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1670 ; 7.29 ;  ;  EUR 8.50 ;  ; 349.86; Restaurants; 
16 Jan 2020 ; Autopista del Sol FX Rate £1 = €1.1654 ; 4.08 ;  ;  EUR 4.75 ;  ; 357.15; Transport; 
16 Jan 2020 ; Gpv Benahavis FX Rate £1 = €1.1689 ; 43.44 ;  ;  EUR 50.77 ;  ; 361.23; Transport; 
16 Jan 2020 ; New Southern Railw  ; 12.20 ;  ;  ;  ; 404.67; Transport; 
15 Jan 2020 ; Carniceria Antonio Cer FX Rate £1 = €1.1664 ; 5.82 ;  ;  EUR 6.78 ;  ; 416.87; Groceries; 
15 Jan 2020 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 422.69; General; 
15 Jan 2020 ; Agp Giraffe T5209 FX Rate £1 = €1.1665 ; 20.71 ;  ;  EUR 24.15 ;  ; 322.69; Restaurants; 
15 Jan 2020 ; Malaga airport - Costa del Sol FX Rate £1 = €1.1663 ; 6.09 ;  ;  EUR 7.10 ;  ; 343.40; Restaurants; 
15 Jan 2020 ; Reebok Hybrid FX Rate £1 = €1.1674 ; 5.14 ;  ;  EUR 6.00 ;  ; 349.49; Health; 
15 Jan 2020 ; Gym junkie FX Rate £1 = €1.1660 ; 26.59 ;  ;  EUR 31.00 ;  ; 354.63; Restaurants; 
15 Jan 2020 ; Ultramarinos FX Rate £1 = €1.1670 ; 6.69 ;  ;  EUR 7.80 ;  ; 381.22; Groceries; 
15 Jan 2020 ; Minimarket Al Andalus FX Rate £1 = €1.1670 ; 9.26 ;  ;  EUR 10.80 ;  ; 387.91; Groceries; 
14 Jan 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 397.17; Shopping; 
14 Jan 2020 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 407.16; General; 
