Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
28 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1685 ; 10.27 ;  ;  EUR 12.00 ;  ; 604.79; Health; 
28 Nov 2019 ; Farmacia Guadalmina 12 H. FX Rate £1 = €1.1692 ; 113.50 ;  ;  EUR 132.70 ;  ; 615.06; Health; 
28 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1710 ; 18.79 ;  ;  EUR 22.00 ;  ; 728.56; Restaurants; 
28 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1716 ; 2.74 ;  ;  EUR 3.20 ;  ; 747.35; Transport; 
28 Nov 2019 ; Supersol FX Rate £1 = €1.1692 ; 65.61 ;  ;  EUR 76.71 ;  ; 750.09; Groceries; 
28 Nov 2019 ; iTunes  ; 9.99 ;  ;  ;  ; 815.70; Shopping; 
28 Nov 2019 ; Indigo - Avda del Mar. FX Rate £1 = €1.1580 ; 5.10 ;  ;  EUR 5.90 ;  ; 825.69; Transport; 
28 Nov 2019 ; Jorge Pena Peluqueros FX Rate £1 = €1.1671 ; 27.42 ;  ;  EUR 32.00 ;  ; 830.79; Health; 
28 Nov 2019 ; La Canasta FX Rate £1 = €1.1696 ; 4.88 ;  ;  EUR 5.70 ;  ; 858.21; Restaurants; 
27 Nov 2019 ; Amazon  ; 82.99 ;  ;  ;  ; 863.09; Shopping; 
27 Nov 2019 ; Indigo - Avda del Mar. FX Rate £1 = €1.1580 ; 4.24 ;  ;  EUR 4.90 ;  ; 946.08; Transport; 
27 Nov 2019 ; Desani Group FX Rate £1 = €1.1580 ; 45.77 ;  ;  EUR 53.00 ;  ; 950.32; Restaurants; 
27 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1580 ; 9.94 ;  ;  EUR 11.50 ;  ; 996.09; Restaurants; 
27 Nov 2019 ; Desani Group FX Rate £1 = €1.1580 ; 3.11 ;  ;  EUR 3.60 ;  ; 1,006.03; Restaurants; 
27 Nov 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 1,009.14; Shopping; 
27 Nov 2019 ; Itunes  ; 7.99 ;  ;  ;  ; 1,023.13; Shopping; 
25 Nov 2019 ; Top-Up by *8018  ;  ; 600.00 ;  ;  ; 1,031.12; General; 
24 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1640 ; 5.16 ;  ;  EUR 6.00 ;  ; 431.12; Health; 
24 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1631 ; 24.08 ;  ;  EUR 28.00 ;  ; 436.28; Restaurants; 
24 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1636 ; 32.66 ;  ;  EUR 38.00 ;  ; 460.36; Restaurants; 
23 Nov 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 493.02; General; 
21 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1662 ; 38.92 ;  ;  EUR 45.38 ;  ; 293.02; Transport; 
21 Nov 2019 ; Apple.com  ; 7.99 ;  ;  ;  ; 331.94; Shopping; 
20 Nov 2019 ; Apple.com  ; 0.79 ;  ;  ;  ; 339.93; Shopping; 
20 Nov 2019 ; Gym junkie FX Rate £1 = €1.1699 ; 5.13 ;  ;  EUR 6.00 ;  ; 340.72; Restaurants; 
20 Nov 2019 ; Amazon FX Rate £1 = €1.1696 ; 39.32 ;  ;  EUR 45.98 ;  ; 345.85; Shopping; 
20 Nov 2019 ; Gym junkie FX Rate £1 = €1.1709 ; 11.11 ;  ;  EUR 13.00 ;  ; 385.17; Restaurants; 
20 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1720 ; 5.12 ;  ;  EUR 6.00 ;  ; 396.28; Health; 
17 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1672 ; 11.14 ;  ;  EUR 13.00 ;  ; 401.40; Restaurants; 
17 Nov 2019 ; Gym junkie FX Rate £1 = €1.1669 ; 13.29 ;  ;  EUR 15.50 ;  ; 412.54; Restaurants; 
17 Nov 2019 ; delish Marbella FX Rate £1 = €1.1675 ; 41.84 ;  ;  EUR 48.85 ;  ; 425.83; Restaurants; 
17 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1672 ; 5.15 ;  ;  EUR 6.00 ;  ; 467.67; Health; 
17 Nov 2019 ; Itunes  ; 9.99 ;  ;  ;  ; 472.82; Shopping; 
15 Nov 2019 ; Top-Up by *8018  ;  ; 400.00 ;  ;  ; 482.81; General; 
15 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1678 ; 11.99 ;  ;  EUR 14.00 ;  ; 82.81; Restaurants; 
15 Nov 2019 ; Merchchecker FX Rate £1 = US$1.2835 ; 14.15 ;  ;  USD 18.15 ;  ; 94.80; Shopping; 
15 Nov 2019 ; delish Marbella FX Rate £1 = €1.1677 ; 20.27 ;  ;  EUR 23.66 ;  ; 108.95; Restaurants; 
15 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1660 ; 6.44 ;  ;  EUR 7.50 ;  ; 129.22; Health; 
15 Nov 2019 ; Gym junkie FX Rate £1 = €1.1663 ; 12.01 ;  ;  EUR 14.00 ;  ; 135.66; Restaurants; 
14 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1627 ; 5.17 ;  ;  EUR 6.00 ;  ; 147.67; Health; 
14 Nov 2019 ; Three  ; 20.00 ;  ;  ;  ; 152.84; Services; 
14 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1635 ; 6.88 ;  ;  EUR 8.00 ;  ; 172.84; Restaurants; 
14 Nov 2019 ; Breathe Ground FX Rate £1 = €1.1657 ; 3.44 ;  ;  EUR 4.00 ;  ; 179.72; Restaurants; 
14 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1647 ; 21.47 ;  ;  EUR 25.00 ;  ; 183.16; Restaurants; 
14 Nov 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 204.63; General; 
14 Nov 2019 ; Gym junkie FX Rate £1 = €1.1633 ; 11.61 ;  ;  EUR 13.50 ;  ; 104.63; Restaurants; 
12 Nov 2019 ; Mundo Manía FX Rate £1 = €1.1530 ; 3.47 ;  ;  EUR 4.00 ;  ; 116.24; Shopping; 
11 Nov 2019 ; ALDI FX Rate £1 = €1.1604 ; 27.22 ;  ;  EUR 31.58 ;  ; 119.71; Groceries; 
10 Nov 2019 ; Mini India FX Rate £1 = €1.1593 ; 27.95 ;  ;  EUR 32.40 ;  ; 146.93; Restaurants; 
10 Nov 2019 ; Gym junkie FX Rate £1 = €1.1608 ; 12.06 ;  ;  EUR 14.00 ;  ; 174.88; Restaurants; 
8 Nov 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 186.94; General; 
8 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1602 ; 12.93 ;  ;  EUR 15.00 ;  ; 86.94; Restaurants; 
8 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1609 ; 8.62 ;  ;  EUR 10.00 ;  ; 99.87; Restaurants; 
7 Nov 2019 ; Gym junkie FX Rate £1 = €1.1620 ; 12.91 ;  ;  EUR 15.00 ;  ; 108.49; Restaurants; 
7 Nov 2019 ; Amazon FX Rate £1 = €1.1627 ; 59.31 ;  ;  EUR 68.95 ;  ; 121.40; Shopping; 
7 Nov 2019 ; ALDI FX Rate £1 = €1.1614 ; 14.16 ;  ;  EUR 16.44 ;  ; 180.71; Groceries; 
7 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1624 ; 5.17 ;  ;  EUR 6.00 ;  ; 194.87; Health; 
7 Nov 2019 ; Organic Cold Pressed Juicery FX Rate £1 = €1.1606 ; 31.02 ;  ;  EUR 36.00 ;  ; 200.04; Restaurants; 
6 Nov 2019 ; Firstedition Sl FX Rate £1 = €1.1605 ; 23.27 ;  ;  EUR 27.00 ;  ; 246.28; Restaurants; 
6 Nov 2019 ; Reebok Hybrid FX Rate £1 = €1.1574 ; 5.19 ;  ;  EUR 6.00 ;  ; 269.55; Health; 
6 Nov 2019 ; Gym junkie FX Rate £1 = €1.1574 ; 13.83 ;  ;  EUR 16.00 ;  ; 274.74; Restaurants; 
5 Nov 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 288.57; General; 
5 Nov 2019 ;  Kyoto Streetwear FX Rate £1 = US$1.2874 ; 27.18 ;  ;  USD 34.99 ;  ; 188.57; Shopping; 
5 Nov 2019 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1587 ; 27.97 ;  ;  EUR 32.40 ;  ; 215.75; Restaurants; 
5 Nov 2019 ; Cabana FX Rate £1 = €1.1526 ; 55.70 ;  ;  EUR 64.20 ;  ; 243.72; Restaurants; 
5 Nov 2019 ; Mundo Manía FX Rate £1 = €1.1521 ; 12.16 ;  ;  EUR 14.00 ;  ; 299.42; Shopping; 
5 Nov 2019 ; Itunes  ; 13.99 ;  ;  ;  ; 311.58; Shopping; 
5 Nov 2019 ; Itunes  ; 7.99 ;  ;  ;  ; 325.57; Shopping; 
3 Nov 2019 ; Gpv Benahavis FX Rate £1 = €1.1623 ; 54.32 ;  ;  EUR 63.14 ;  ; 333.56; Transport; 
3 Nov 2019 ; Gym junkie FX Rate £1 = €1.1617 ; 1.73 ;  ;  EUR 2.00 ;  ; 387.88; Restaurants; 
2 Nov 2019 ; Top-Up by *8018  ;  ; 100.00 ;  ;  ; 389.61; General; 
1 Nov 2019 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 371.96; General; 
