Completed Date ; Description ; Paid Out (GBP) ; Paid In (GBP) ; Exchange Out; Exchange In; Balance (GBP); Category; Notes
14 Sep 2020 ; Three  ; 20.00 ;  ;  ;  ; 74.55; Services; 
14 Sep 2020 ; Gym junkie FX Rate £1 = €1.0685 ; 49.61 ;  ;  EUR 53.00 ;  ; 94.55; Restaurants; 
14 Sep 2020 ; Parking El Corte Inglés Serrano FX Rate £1 = €1.0685 ; 2.20 ;  ;  EUR 2.35 ;  ; 144.16; Transport; 
14 Sep 2020 ; Gpv Benahavis FX Rate £1 = €1.0685 ; 9.17 ;  ;  EUR 9.79 ;  ; 146.36; Transport; 
13 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.0834 ; 5.54 ;  ;  EUR 6.00 ;  ; 155.53; Health; 
11 Sep 2020 ; Itunes  ; 7.99 ;  ;  ;  ; 161.07; Shopping; 
11 Sep 2020 ; Autopista del Sol FX Rate £1 = €1.1089 ; 3.03 ;  ;  EUR 3.35 ;  ; 169.06; Transport; 
11 Sep 2020 ; Autopista del Sol FX Rate £1 = €1.1089 ; 3.03 ;  ;  EUR 3.35 ;  ; 172.09; Transport; 
11 Sep 2020 ; Gym junkie FX Rate £1 = €1.0996 ; 9.10 ;  ;  EUR 10.00 ;  ; 175.12; Restaurants; 
11 Sep 2020 ; Gpv Benahavis FX Rate £1 = €1.1004 ; 21.71 ;  ;  EUR 23.89 ;  ; 184.22; Transport; 
9 Sep 2020 ; Amazon Prime  ; 7.99 ;  ;  ;  ; 205.93; Shopping; 
9 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.1145 ; 5.39 ;  ;  EUR 6.00 ;  ; 213.92; Health; 
8 Sep 2020 ; ALDI FX Rate £1 = €1.1089 ; 50.18 ;  ;  EUR 55.64 ;  ; 219.31; Groceries; 
7 Sep 2020 ; itunes.com/bill  ; 5.99 ;  ;  ;  ; 269.49; Shopping; 
5 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.1221 ; 5.35 ;  ;  EUR 6.00 ;  ; 275.48; Health; 
5 Sep 2020 ; Payment from Rose Ajw  ;  ; 200.00 ;  ;  ; 280.83; General; TO REVOLUT -D8UG-
3 Sep 2020 ; Gym junkie FX Rate £1 = €1.1235 ; 44.51 ;  ;  EUR 50.00 ;  ; 80.83; Restaurants; 
3 Sep 2020 ; Reebok Hybrid FX Rate £1 = €1.1203 ; 5.36 ;  ;  EUR 6.00 ;  ; 125.34; Health; 
3 Sep 2020 ; San Pedro Del Mar FX Rate £1 = €1.1188 ; 40.33 ;  ;  EUR 45.12 ;  ; 130.70; Transport; 
2 Sep 2020 ; Parking El Corte Inglés Serrano FX Rate £1 = €1.1158 ; 1.62 ;  ;  EUR 1.80 ;  ; 171.03; Transport; 
2 Sep 2020 ; El Corte Ingles Marbella FX Rate £1 = €1.1155 ; 2.25 ;  ;  EUR 2.50 ;  ; 172.65; Shopping; 
2 Sep 2020 ; Organic With Love (OWL) FX Rate £1 = €1.1185 ; 10.73 ;  ;  EUR 12.00 ;  ; 174.90; Shopping; 
1 Sep 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 185.63; Shopping; 
1 Sep 2020 ; El Piave FX Rate £1 = €1.1102 ; 41.98 ;  ;  EUR 46.60 ;  ; 193.62; Groceries; 
31 Aug 2020 ; Gpv Benahavis FX Rate £1 = €1.1102 ; 13.28 ;  ;  EUR 14.74 ;  ; 235.60; Transport; 
31 Aug 2020 ; Cinemas Teatro Goya FX Rate £1 = €1.1102 ; 4.60 ;  ;  EUR 5.10 ;  ; 248.88; Shopping; 
31 Aug 2020 ; Parking Arias Maldonado FX Rate £1 = €1.1102 ; 14.06 ;  ;  EUR 15.60 ;  ; 253.48; Transport; 
31 Aug 2020 ; El Corte Ingles Marbella FX Rate £1 = €1.1102 ; 2.53 ;  ;  EUR 2.80 ;  ; 267.54; Shopping; 
30 Aug 2020 ; Teatro Goya Cines Marbell FX Rate £1 = €1.1102 ; 16.04 ;  ;  EUR 17.80 ;  ; 270.07; Shopping; 
30 Aug 2020 ; Gpv Benahavis FX Rate £1 = €1.1102 ; 3.61 ;  ;  EUR 4.00 ;  ; 286.11; Transport; 
29 Aug 2020 ; Restaurante las Olas Beach FX Rate £1 = €1.1172 ; 85.04 ;  ;  EUR 95.00 ;  ; 289.72; Restaurants; 
29 Aug 2020 ; Licuas. S.a.-orquidario D FX Rate £1 = €1.1161 ; 5.38 ;  ;  EUR 6.00 ;  ; 374.76; Entertainment; 
29 Aug 2020 ; Parking CC Marina Banús FX Rate £1 = €1.1168 ; 2.33 ;  ;  EUR 2.60 ;  ; 380.14; Transport; 
28 Aug 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 382.47; Shopping; 
28 Aug 2020 ; Three  ; 20.00 ;  ;  ;  ; 392.46; Services; 
28 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1077 ; 5.42 ;  ;  EUR 6.00 ;  ; 412.46; Health; 
27 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 417.88; General; 
27 Aug 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 217.88; General; 
26 Aug 2020 ; Amazon FX Rate £1 = €1.1089 ; 18.93 ;  ;  EUR 20.99 ;  ; 232.87; Shopping; 
26 Aug 2020 ; sanebox Inc. FX Rate £1 = $1.3094 ; 5.35 ;  ;  USD 7.00 ;  ; 251.80; Shopping; 
25 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 257.15; General; 
25 Aug 2020 ; Hustle n' Flow Eatery FX Rate £1 = €1.1029 ; 48.96 ;  ;  EUR 54.00 ;  ; 57.15; Restaurants; 
24 Aug 2020 ; Maskom Supermercados FX Rate £1 = €1.1029 ; 8.84 ;  ;  EUR 9.75 ;  ; 106.11; Groceries; 
23 Aug 2020 ; Gym junkie FX Rate £1 = €1.1029 ; 10.88 ;  ;  EUR 12.00 ;  ; 114.95; Restaurants; 
23 Aug 2020 ; La Bodega del Mar FX Rate £1 = €1.1029 ; 11.93 ;  ;  EUR 13.15 ;  ; 125.83; Health; 
23 Aug 2020 ; Detalle Marbella FX Rate £1 = €1.1029 ; 8.93 ;  ;  EUR 9.84 ;  ; 137.76; Groceries; 
23 Aug 2020 ; Amazon FX Rate £1 = €1.1060 ; 22.17 ;  ;  EUR 24.52 ;  ; 146.69; Shopping; 
22 Aug 2020 ; Mini India Diana - Indian Restaurant Diana FX Rate £1 = €1.1100 ; 52.25 ;  ;  EUR 58.00 ;  ; 168.86; Restaurants; 
22 Aug 2020 ; Gym junkie FX Rate £1 = €1.1098 ; 46.86 ;  ;  EUR 52.00 ;  ; 221.11; Restaurants; 
21 Aug 2020 ; Autopista del Sol FX Rate £1 = €1.0995 ; 3.05 ;  ;  EUR 3.35 ;  ; 267.97; Transport; 
21 Aug 2020 ; Autopista del Sol FX Rate £1 = €1.0995 ; 3.05 ;  ;  EUR 3.35 ;  ; 271.02; Transport; 
21 Aug 2020 ; Itunes  ; 12.50 ;  ;  ;  ; 274.07; Shopping; 
21 Aug 2020 ; Itunes  ; 2.49 ;  ;  ;  ; 286.57; Shopping; 
21 Aug 2020 ; Itunes  ; 2.49 ;  ;  ;  ; 289.06; Shopping; 
20 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 291.55; General; 
19 Aug 2020 ; Itunes  ; 0.79 ;  ;  ;  ; 91.55; Shopping; 
19 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1056 ; 5.43 ;  ;  EUR 6.00 ;  ; 92.34; Health; 
18 Aug 2020 ; itunes.com/bill  ; 7.99 ;  ;  ;  ; 97.77; Shopping; 
17 Aug 2020 ; Gpv Benahavis FX Rate £1 = €1.0995 ; 46.47 ;  ;  EUR 51.09 ;  ; 105.76; Transport; 
17 Aug 2020 ; Amazon FX Rate £1 = €1.0995 ; 55.30 ;  ;  EUR 60.80 ;  ; 152.23; Shopping; 
17 Aug 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 207.53; Shopping; 
16 Aug 2020 ; El Fogon De Flore FX Rate £1 = €1.0995 ; 1.37 ;  ;  EUR 1.50 ;  ; 217.52; Restaurants; 
16 Aug 2020 ; El Fogon De Flore FX Rate £1 = €1.0995 ; 1.37 ;  ;  EUR 1.50 ;  ; 218.89; Restaurants; 
16 Aug 2020 ; El Fogon De Flores FX Rate £1 = €1.0995 ; 133.69 ;  ;  EUR 147.00 ;  ; 220.26; Restaurants; 
15 Aug 2020 ; Restaurante Chinales FX Rate £1 = €1.1051 ; 45.25 ;  ;  EUR 50.00 ;  ; 353.95; Restaurants; 
15 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1066 ; 5.43 ;  ;  EUR 6.00 ;  ; 399.20; Health; 
15 Aug 2020 ; La Bodega del Mar FX Rate £1 = €1.1073 ; 55.45 ;  ;  EUR 61.40 ;  ; 404.63; Health; 
15 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 460.08; General; 
14 Aug 2020 ; La Bodega del Mar FX Rate £1 = €1.1053 ; 5.25 ;  ;  EUR 5.80 ;  ; 260.08; Health; 
13 Aug 2020 ; Gym junkie FX Rate £1 = €1.1068 ; 33.43 ;  ;  EUR 37.00 ;  ; 265.33; Restaurants; 
12 Aug 2020 ; Itunes  ; 1.99 ;  ;  ;  ; 298.76; Shopping; 
11 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1104 ; 5.41 ;  ;  EUR 6.00 ;  ; 300.75; Health; 
11 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1095 ; 90.13 ;  ;  EUR 100.00 ;  ; 306.16; Health; 
10 Aug 2020 ; The Box Market FX Rate £1 = €1.1018 ; 7.27 ;  ;  EUR 8.00 ;  ; 396.29; Restaurants; 
10 Aug 2020 ; McDonald's Puerto Banús FX Rate £1 = €1.1018 ; 3.45 ;  ;  EUR 3.80 ;  ; 403.56; Restaurants; 
10 Aug 2020 ; Parking Gourmet FX Rate £1 = €1.1018 ; 4.50 ;  ;  EUR 4.95 ;  ; 407.01; Transport; 
10 Aug 2020 ; Itunes  ; 9.99 ;  ;  ;  ; 411.51; Shopping; 
10 Aug 2020 ; H&M FX Rate £1 = €1.1018 ; 207.70 ;  ;  EUR 228.84 ;  ; 421.50; Shopping; 
10 Aug 2020 ; Gpv Benahavis FX Rate £1 = €1.1018 ; 15.86 ;  ;  EUR 17.47 ;  ; 629.20; Transport; 
10 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 645.06; General; 
10 Aug 2020 ; Gpv Benahavis FX Rate £1 = €1.1018 ; 2.73 ;  ;  EUR 3.00 ;  ; 445.06; Transport; 
10 Aug 2020 ; Amazon Prime  ; 7.99 ;  ;  ;  ; 447.79; Shopping; 
10 Aug 2020 ; Amazon FX Rate £1 = €1.1018 ; 85.99 ;  ;  EUR 94.74 ;  ; 455.78; Shopping; 
9 Aug 2020 ; Amazon FX Rate £1 = €1.1056 ; 9.22 ;  ;  EUR 10.19 ;  ; 541.77; Shopping; 
8 Aug 2020 ; Top-Up by *8018  ;  ; 300.00 ;  ;  ; 550.99; General; 
8 Aug 2020 ; Braille Skateboarding FX Rate £1 = $1.3140 ; 29.45 ;  ;  USD 38.69 ;  ; 250.99; Shopping; 
8 Aug 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 280.44; General; 
7 Aug 2020 ; Uber   *trip FX Rate £1 = €1.1055 ; 12.52 ;  ;  EUR 13.84 ;  ; 80.44; Transport; 
6 Aug 2020 ; Itunes  ; 5.99 ;  ;  ;  ; 92.96; Shopping; 
5 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1079 ; 5.42 ;  ;  EUR 6.00 ;  ; 98.95; Health; 
5 Aug 2020 ; La Bodega del Mar FX Rate £1 = €1.1062 ; 37.83 ;  ;  EUR 41.85 ;  ; 104.37; Health; 
4 Aug 2020 ; Cash at Enes3667 FX Rate £1 = €1.1107 ; 93.59 ;  ;  EUR 103.95 ;  ; 142.20; Cash; 
4 Aug 2020 ; Autopista del Sol FX Rate £1 = €1.1112 ; 3.02 ;  ;  EUR 3.35 ;  ; 235.79; Transport; 
4 Aug 2020 ; Autopista del Sol FX Rate £1 = €1.1102 ; 3.02 ;  ;  EUR 3.35 ;  ; 238.81; Transport; 
3 Aug 2020 ; Sonora Dreams FX Rate £1 = €1.1045 ; 11.77 ;  ;  EUR 13.00 ;  ; 241.83; Restaurants; 
3 Aug 2020 ; E.s. Estepona campsa FX Rate £1 = €1.1045 ; 41.27 ;  ;  EUR 45.58 ;  ; 253.60; Transport; 
2 Aug 2020 ; Reebok Hybrid FX Rate £1 = €1.1067 ; 5.43 ;  ;  EUR 6.00 ;  ; 294.87; Health; 
30 Jul 2020 ; Maui FX Rate £1 = €1.1013 ; 301.44 ;  ;  EUR 332.00 ;  ; 300.30; Shopping; 
30 Jul 2020 ; Audible Ltd  ; 7.99 ;  ;  ;  ; 601.74; Shopping; 
29 Jul 2020 ; Top-Up by *8018  ;  ; 450.00 ;  ;  ; 609.73; General; 
29 Jul 2020 ; Reebok Hybrid FX Rate £1 = €1.0987 ; 5.47 ;  ;  EUR 6.00 ;  ; 159.73; Health; 
27 Jul 2020 ; Andy's Beach Bar FX Rate £1 = €1.0920 ; 42.13 ;  ;  EUR 46.00 ;  ; 165.20; Restaurants; 
27 Jul 2020 ; Aldi FX Rate £1 = €1.0920 ; 98.67 ;  ;  EUR 107.74 ;  ; 207.33; Groceries; 
27 Jul 2020 ; Ladys Bar FX Rate £1 = €1.0920 ; 7.79 ;  ;  EUR 8.50 ;  ; 306.00; Restaurants; 
27 Jul 2020 ; Juguettos Avda R.soria FX Rate £1 = €1.0920 ; 20.14 ;  ;  EUR 21.99 ;  ; 313.79; Shopping; 
27 Jul 2020 ; Experian Ltd  ; 14.99 ;  ;  ;  ; 333.93; General; 
27 Jul 2020 ; Bel mare FX Rate £1 = €1.0920 ; 45.79 ;  ;  EUR 50.00 ;  ; 348.92; Restaurants; 
27 Jul 2020 ; Amazon FX Rate £1 = €1.0985 ; 27.27 ;  ;  EUR 29.95 ;  ; 394.71; Shopping; 
27 Jul 2020 ; Parking Cabopino FX Rate £1 = €1.0920 ; 8.06 ;  ;  EUR 8.80 ;  ; 421.98; Transport; 
27 Jul 2020 ; Three  ; 20.00 ;  ;  ;  ; 430.04; Services; 
26 Jul 2020 ; sanebox Inc. FX Rate £1 = $1.2728 ; 1.58 ;  ;  USD 2.00 ;  ; 450.04; Shopping; 
26 Jul 2020 ; Gpv Benahavis FX Rate £1 = €1.0986 ; 8.20 ;  ;  EUR 9.00 ;  ; 451.62; Transport; 
26 Jul 2020 ; Autopista del Sol FX Rate £1 = €1.0999 ; 3.05 ;  ;  EUR 3.35 ;  ; 459.82; Transport; 
25 Jul 2020 ; Top-Up by *8018  ;  ; 150.00 ;  ;  ; 462.87; General; 
25 Jul 2020 ; Top-Up by *8018  ;  ; 150.00 ;  ;  ; 312.87; General; 
24 Jul 2020 ; Toy Planet Gral.lopez FX Rate £1 = €1.0975 ; 16.39 ;  ;  EUR 17.98 ;  ; 162.87; Shopping; 
24 Jul 2020 ; Sonora Dreams FX Rate £1 = €1.0980 ; 21.41 ;  ;  EUR 23.50 ;  ; 179.26; Restaurants; 
24 Jul 2020 ; Indigo - Avda del Mar. FX Rate £1 = €1.0980 ; 6.11 ;  ;  EUR 6.70 ;  ; 200.67; Transport; 
23 Jul 2020 ; Top-Up by *8018  ;  ; 200.00 ;  ;  ; 206.78; General; 
23 Jul 2020 ; Restaurante Dos Mares FX Rate £1 = €1.0985 ; 3.65 ;  ;  EUR 4.00 ;  ; 6.78; Restaurants; 
